title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,availableCountries
Basic,movie,"Crime, Drama, Mystery",2003,tt0264395,6.4,68334,
"The Abandoned",movie,"Horror, Mystery, Thriller",2006,tt0475937,5.5,13537,
"The One",movie,"Action, Sci-Fi, Thriller",2001,tt0267804,5.9,98303,
"Terkel in Trouble",movie,"Animation, Comedy, Musical",2004,tt0386820,7.1,12678,
Showgirls,movie,Drama,1995,tt0114436,5.1,78776,
"Rosario Tijeras",movie,"Crime, Drama, Romance",2005,tt0382271,6.3,2612,
"The Wedding",movie,"Comedy, Drama",2004,tt0420318,7.7,5026,
Matilda,movie,"Comedy, Family, Fantasy",1996,tt0117008,7,187139,
Them,movie,"Horror, Thriller",2006,tt0465203,6.3,33189,
Dagon,movie,"Fantasy, Horror, Mystery",2001,tt0264508,6.2,22388,
Revolver,movie,"Action, Crime, Drama",2005,tt0365686,6.3,106426,
"Kung Fu Cult Master",movie,"Action, Fantasy, History",1993,tt0108624,6.4,4317,
"Steel Magnolias",movie,"Comedy, Drama, Romance",1989,tt0098384,7.3,66595,
"Maximum Risk",movie,"Action, Crime, Thriller",1996,tt0117011,5.6,25021,
Malena,movie,"Drama, Romance, War",2000,tt0213847,7.4,120192,
"Exit Wounds",movie,"Action, Crime, Thriller",2001,tt0242445,5.6,37900,
"Saving Silverman",movie,"Comedy, Crime, Romance",2001,tt0239948,5.9,44367,
Shutter,movie,"Horror, Mystery, Thriller",2008,tt0482599,5.2,38873,
Stripes,movie,"Comedy, War",1981,tt0083131,6.8,83160,
"The Little Rascals",movie,"Comedy, Family, Romance",1994,tt0110366,6.3,59455,
"Moulin Rouge",movie,"Biography, Drama, Music",1952,tt0044926,7,6997,
"The Guns of Navarone",movie,"Action, Adventure, Drama",1961,tt0054953,7.5,58002,
"Armour of God",movie,"Action, Adventure, Comedy",1986,tt0091431,6.9,23406,
"Armour of God 2: Operation Condor",movie,"Action, Adventure, Comedy",1991,tt0099558,7.2,23817,
"Jalla! Jalla!",movie,"Comedy, Drama, Romance",2000,tt0269389,6.8,15173,
"The New Guy",movie,Comedy,2002,tt0241760,5.8,38903,
"The Lover",movie,"Biography, Drama, Romance",1992,tt0101316,6.8,24534,
"Stuart Little 2",movie,"Adventure, Comedy, Family",2002,tt0243585,5.5,60469,
"Farewell My Concubine",movie,"Drama, Music, Romance",1993,tt0106332,8.1,35379,
"Fatal Attraction",movie,"Drama, Thriller",1987,tt0093010,6.9,106966,
"Blue Streak",movie,"Action, Comedy, Crime",1999,tt0181316,6.4,91930,
Awakenings,movie,"Biography, Drama",1990,tt0099077,7.8,170140,
"Smokey and the Bandit",movie,"Action, Adventure, Comedy",1977,tt0076729,7,60342,
"Richie Rich",movie,"Comedy, Family",1994,tt0110989,5.4,76985,
Damage,movie,"Drama, Romance",1992,tt0104237,6.7,21664,
"Billy Madison",movie,Comedy,1995,tt0112508,6.4,162821,
"Scooby-Doo 2: Monsters Unleashed",movie,"Adventure, Comedy, Family",2004,tt0331632,5.3,69146,
"New York Minute",movie,"Adventure, Comedy, Crime",2004,tt0363282,5,25788,
